City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Sao Leopoldo,BR,2022-04-11 14:49:00,-29.7603,-51.1472,73.76,83,100,1.01
119,Hirara,JP,2022-04-11 14:49:01,24.8,125.2833,73.83,91,8,14.09
120,Laela,TZ,2022-04-11 14:49:01,-8.5667,32.05,70.21,78,54,2.71
121,Hambantota,LK,2022-04-11 14:49:01,6.1241,81.1185,79.65,86,100,8.37
122,Norman Wells,CA,2022-04-11 14:49:02,65.282,-126.8329,5.04,72,100,10.36
123,Kinablangan,PH,2022-04-11 14:49:02,7.6947,126.5503,78.6,86,100,5.1
124,Hasaki,JP,2022-04-11 14:49:03,35.7333,140.8333,61.29,86,100,15.66
125,Yatou,CN,2022-04-11 14:49:04,37.15,122.3833,53.85,88,51,9.28
126,Gat,IL,2022-04-11 14:49:05,31.61,34.7642,70.39,26,0,14.14
127,Shache,CN,2022-04-11 14:49:05,38.4167,77.2406,74.21,13,100,8.39
128,Clyde River,CA,2022-04-11 14:48:14,70.4692,-68.5914,-0.17,92,100,5.75
129,Bam,IR,2022-04-11 14:49:06,29.106,58.357,80.22,8,37,7.43
130,Wajid,SO,2022-04-11 14:49:06,3.8093,43.2471,89.8,35,92,3.6
131,Kutum,SD,2022-04-11 14:49:07,14.2,24.6667,93.54,6,9,9.13
132,Canmore,CA,2022-04-11 14:49:07,51.0834,-115.3521,18.81,62,100,1.14
133,Aizawl,IN,2022-04-11 14:49:08,23.7333,92.7167,54.57,93,98,3.89
134,Petropavlovsk-Kamchatskiy,RU,2022-04-11 14:50:08,53.0452,158.6483,30.79,69,75,2.24
135,Bathsheba,BB,2022-04-11 14:50:09,13.2167,-59.5167,84.81,65,20,23.02
136,Nanortalik,GL,2022-04-11 14:50:09,60.1432,-45.2371,34.88,54,89,6.26
137,Chuy,UY,2022-04-11 14:50:10,-33.6971,-53.4616,72.18,81,98,11.45
138,Hualmay,PE,2022-04-11 14:50:10,-11.0964,-77.6139,70.99,79,91,8.7
139,Pemba,MZ,2022-04-11 14:50:11,-12.974,40.5178,86.7,74,20,11.48
140,Pyshchug,RU,2022-04-11 14:50:11,58.8873,45.7134,46.58,97,100,6.91
141,Bonavista,CA,2022-04-11 14:50:12,48.6499,-53.1147,32.04,98,100,17.11
